Member_number,Date,itemDescription,year,month,day,day_of_week,first,second,third,fourth,Item
1808,21-07-2015,tropical fruit,2015,7,21,1,tropical,fruit,,,tropicalfruit
2552,01-05-2015,whole milk,2015,5,1,4,whole,milk,,,wholemilk
2300,19-09-2015,pip fruit,2015,9,19,5,pip,fruit,,,pipfruit
1187,12-12-2015,other vegetables,2015,12,12,5,other,vegetables,,,othervegetables
3037,02-01-2015,whole milk,2015,1,2,4,whole,milk,,,wholemilk
4941,14-02-2015,rolls/buns,2015,2,14,5,rolls/buns,,,,
4501,05-08-2015,other vegetables,2015,8,5,2,other,vegetables,,,othervegetables
3803,23-12-2015,pot plants,2015,12,23,2,pot,plants,,,potplants
2762,20-03-2015,whole milk,2015,3,20,4,whole,milk,,,wholemilk
4119,02-12-2015,tropical fruit,2015,12,2,2,tropical,fruit,,,tropicalfruit
1340,24-02-2015,citrus fruit,2015,2,24,1,citrus,fruit,,,citrusfruit
2193,14-04-2015,beef,2015,4,14,1,beef,,,,
1997,21-07-2015,frankfurter,2015,7,21,1,frankfurter,,,,
4546,09-03-2015,chicken,2015,3,9,0,chicken,,,,
4736,21-07-2015,butter,2015,7,21,1,butter,,,,
1959,30-03-2015,fruit/vegetable juice,2015,3,30,0,fruit/vegetable,juice,,,fruit/vegetablejuice
1974,05-03-2015,packaged fruit/vegetables,2015,3,5,3,packaged,fruit/vegetables,,,packagedfruit/vegetables
2421,09-02-2015,chocolate,2015,2,9,0,chocolate,,,,
1513,08-03-2015,specialty bar,2015,3,8,6,specialty,bar,,,specialtybar
1905,07-07-2015,other vegetables,2015,7,7,1,other,vegetables,,,othervegetables
2810,09-08-2015,butter milk,2015,8,9,6,butter,milk,,,buttermilk
2867,11-12-2015,whole milk,2015,12,11,4,whole,milk,,,wholemilk
3962,18-09-2015,tropical fruit,2015,9,18,4,tropical,fruit,,,tropicalfruit
1088,30-11-2015,tropical fruit,2015,11,30,0,tropical,fruit,,,tropicalfruit
4976,17-07-2015,bottled water,2015,7,17,4,bottled,water,,,bottledwater
4056,06-12-2015,yogurt,2015,12,6,6,yogurt,,,,
3611,13-02-2015,sausage,2015,2,13,4,sausage,,,,
1420,14-01-2015,other vegetables,2015,1,14,2,other,vegetables,,,othervegetables
4286,03-08-2015,brown bread,2015,8,3,0,brown,bread,,,brownbread
4918,27-01-2015,yogurt,2015,1,27,1,yogurt,,,,
4783,22-10-2015,hamburger meat,2015,10,22,3,hamburger,meat,,,hamburgermeat
3709,26-10-2015,root vegetables,2015,10,26,0,root,vegetables,,,rootvegetables
4289,10-08-2015,pork,2015,8,10,0,pork,,,,
1559,10-03-2015,beef,2015,3,10,1,beef,,,,
2900,04-11-2015,pastry,2015,11,4,2,pastry,,,,
1905,21-02-2015,fruit/vegetable juice,2015,2,21,5,fruit/vegetable,juice,,,fruit/vegetablejuice
3527,29-09-2015,canned beer,2015,9,29,1,canned,beer,,,cannedbeer
1495,01-09-2015,root vegetables,2015,9,1,1,root,vegetables,,,rootvegetables
3558,04-03-2015,citrus fruit,2015,3,4,2,citrus,fruit,,,citrusfruit
3128,20-04-2015,sausage,2015,4,20,0,sausage,,,,
1863,08-04-2015,tropical fruit,2015,4,8,2,tropical,fruit,,,tropicalfruit
3841,19-07-2015,berries,2015,7,19,6,berries,,,,
3903,10-06-2015,canned beer,2015,6,10,2,canned,beer,,,cannedbeer
2658,16-10-2015,butter milk,2015,10,16,4,butter,milk,,,buttermilk
4272,06-06-2015,coffee,2015,6,6,5,coffee,,,,
1120,26-09-2015,pastry,2015,9,26,5,pastry,,,,
2676,15-08-2015,rolls/buns,2015,8,15,5,rolls/buns,,,,
1697,21-05-2015,misc. beverages,2015,5,21,3,misc.,beverages,,,misc.beverages
